idx,label
0,0
1,0
2,0
3,0
4,2
5,2
6,2
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
27,0
28,0
29,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,2
41,2
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,2
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,0
75,0
76,0
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,2
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,2
102,3
103,3
104,2
105,1
107,3
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
124,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,1
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
155,3
156,3
157,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,2
186,2
187,2
188,3
189,3
191,3
192,3
194,3
195,3
196,3
197,3
199,2
200,2
201,1
202,0
203,3
204,2
205,2
206,2
207,2
208,3
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,3
249,3
250,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,0
280,0
281,0
282,3
283,3
284,3
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,3
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
330,0
331,0
332,2
333,2
334,0
335,0
336,0
337,0
338,0
339,2
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,2
349,2
350,2
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,0
378,0
379,0
380,0
381,0
382,0
384,0
385,0
386,2
387,2
388,2
389,3
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,2
400,2
401,0
402,0
403,0
404,0
405,2
406,2
407,2
408,2
409,2
410,3
411,2
412,2
413,3
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,2
425,0
426,0
428,0
429,2
430,2
431,2
433,2
434,2
435,2
436,2
438,2
439,2
440,3
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,1
451,1
452,1
453,1
454,1
472,0
473,0
474,0
475,0
476,0
478,0
479,0
480,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
503,1
506,1
507,1
508,1
509,1
510,1
512,1
513,1
514,1
515,1
517,1
518,1
519,1
520,1
521,1
523,0
524,0
525,1
527,1
529,1
531,1
532,1
533,0
534,0
535,0
536,0
537,0
538,0
539,0
541,0
542,0
543,0
544,0
545,0
546,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,3
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,3
566,3
567,3
568,3
569,1
570,3
571,1
572,1
574,1
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
